UrlOPC;Description;Mode;Outgoing Address;Format;Scale;Offset
GAR_CF_DNP_1.EAM.C_72ET_02ECA_A.Value;GAR_CF_DNP_1.EAM.C_72ET_02ECA_A;Write;GAR_CF_DNP_1.EAM.C_72ET_02ECA_A.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_02ECA_B.Value;GAR_CF_DNP_1.EAM.C_72ET_02ECA_B;Write;GAR_CF_DNP_1.EAM.C_72ET_02ECA_B.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_02ECA_C.Value;GAR_CF_DNP_1.EAM.C_72ET_02ECA_C;Write;GAR_CF_DNP_1.EAM.C_72ET_02ECA_C.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_02ECA_HZ.Value;GAR_CF_DNP_1.EAM.C_72ET_02ECA_HZ;Write;GAR_CF_DNP_1.EAM.C_72ET_02ECA_HZ.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_03ECA_W.Value;GAR_CF_DNP_1.EAM.C_72ET_03ECA_W;Write;GAR_CF_DNP_1.EAM.C_72ET_03ECA_W.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_03ECA_VAR.Value;GAR_CF_DNP_1.EAM.C_72ET_03ECA_VAR;Write;GAR_CF_DNP_1.EAM.C_72ET_03ECA_VAR.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_03ECA_V.Value;GAR_CF_DNP_1.EAM.C_72ET_03ECA_V;Write;GAR_CF_DNP_1.EAM.C_72ET_03ECA_V.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_03ECA_A.Value;GAR_CF_DNP_1.EAM.C_72ET_03ECA_A;Write;GAR_CF_DNP_1.EAM.C_72ET_03ECA_A.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_03ECA_B.Value;GAR_CF_DNP_1.EAM.C_72ET_03ECA_B;Write;GAR_CF_DNP_1.EAM.C_72ET_03ECA_B.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_03ECA_C.Value;GAR_CF_DNP_1.EAM.C_72ET_03ECA_C;Write;GAR_CF_DNP_1.EAM.C_72ET_03ECA_C.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_03ECA_HZ.Value;GAR_CF_DNP_1.EAM.C_72ET_03ECA_HZ;Write;GAR_CF_DNP_1.EAM.C_72ET_03ECA_HZ.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_04ECA_MWH.Value;GAR_CF_DNP_1.EAM.C_71ET_04ECA_MWH;Write;GAR_CF_DNP_1.EAM.C_71ET_04ECA_MWH.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_01ECA_MWH.Value;GAR_CF_DNP_1.EAM.C_71ET_01ECA_MWH;Write;GAR_CF_DNP_1.EAM.C_71ET_01ECA_MWH.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_02ECA_MWH.Value;GAR_CF_DNP_1.EAM.C_72ET_02ECA_MWH;Write;GAR_CF_DNP_1.EAM.C_72ET_02ECA_MWH.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_03ECA_MWH.Value;GAR_CF_DNP_1.EAM.C_72ET_03ECA_MWH;Write;GAR_CF_DNP_1.EAM.C_72ET_03ECA_MWH.Value;Float;1;0
